,Sample_6.raw (F8),Sample_7.raw (F9),Sample_12.raw (F15),Sample_15.raw (F18),Sample_17.raw (F21),Sample_2a.raw (F33),Sample_6a.raw (F37),Sample_7a.raw (F38),Sample_12a.raw (F44),Sample_15a.raw (F47),Sample_17a.raw (F50),QC9.raw (F1),QC10.raw (F2),QC11.raw (F11),QC12.raw (F20),Solvent_Blank.raw (F27),QC13.raw (F28),QC14.raw (F29),QCB4.raw (F30),QCB5.raw (F31),QCB6.raw (F40),QCB7.raw (F49),QCB8.raw (F56),QCB9.raw (F57),Sample_1.raw (F3),Sample_3.raw (F5),Sample_4.raw (F6),Sample_5.raw (F7),Sample_10.raw (F13),Sample_11.raw (F14),Sample_14.raw (F17),Sample_16.raw (F19),Sample_18.raw (F22),Sample_19.raw (F23),Sample_20.raw (F24),Sample_1a.raw (F32),Sample_3a.raw (F34),Sample_4a.raw (F35),Sample_5a.raw (F36),Sample_10a.raw (F42),Sample_11a.raw (F43),Sample_14a.raw (F46),Sample_16a.raw (F48),Sample_18a.raw (F51),Sample_19a.raw (F52),Sample_20a.raw (F53),Sample_8.raw (F10),Sample_13.raw (F16),Sample_8a.raw (F39),Sample_13a.raw (F45)
C11H9NO2_trans-3-Indoleacrylic acid_-0.88,7.135493750349599,7.135493750349599,7.135493750349599,7.21067212469376,7.135493750349599,7.088820904726712,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,6.272237092747912,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.088820904726712,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.135493750349599,7.122606636107877,7.088820904726712,7.088820904726712,7.135493750349599,7.088820904726712,7.135493750349599,7.135493750349599,7.088820904726712,7.088820904726712,7.135493750349599,7.088820904726712,7.135493750349599,7.088820904726712,7.088820904726712,7.135493750349599,7.135493750349599,6.94985207265038,7.135493750349599,6.94985207265038
C5H9N2OPS_nan_0.16,7.055035173345548,7.055035173345548,7.055035173345548,7.055035173345548,7.055035173345548,6.972980229775527,6.972980229775527,7.055035173345548,6.972980229775527,7.055035173345548,7.055035173345548,7.055035173345548,7.055035173345548,7.055035173345548,7.055035173345548,6.426295575093962,7.055035173345548,7.055035173345548,6.9267239155252325,6.972980229775527,6.972980229775527,6.972980229775527,6.972980229775527,6.972980229775527,6.853768001866335,6.9267239155252325,7.055035173345548,6.972980229775527,7.055035173345548,7.055035173345548,6.972980229775527,7.055035173345548,6.972980229775527,6.972980229775527,7.055035173345548,6.853768001866335,7.055035173345548,7.055035173345548,6.772596014242112,6.9267239155252325,6.853768001866335,6.853768001866335,6.972980229775527,6.9267239155252325,6.9267239155252325,7.055035173345548,6.972980229775527,7.292248247854949,6.853768001866335,7.148380864591321
"C18H37NO2_Threo-sphingosine, (-)-_0.43",6.539215475290718,6.300314797412803,6.122230297007607,5.965376179707063,6.684182899809737,6.853768001866335,6.772596014242112,6.539215475290718,6.684182899809737,5.965376179707063,6.5842569095918755,6.9267239155252325,6.853768001866335,6.853768001866335,6.853768001866335,7.055035173345548,6.853768001866335,6.853768001866335,7.055035173345548,7.055035173345548,7.055035173345548,7.055035173345548,7.055035173345548,7.055035173345548,7.292248247854949,6.972980229775527,6.01521605146658,7.055035173345548,6.972980229775527,5.5589613985469795,7.055035173345548,6.272237092747912,7.148380864591321,7.148380864591321,5.965376179707063,7.41949461603712,6.772596014242112,5.731104332301989,7.292248247854949,7.148380864591321,6.972980229775527,7.148380864591321,5.965376179707063,7.148380864591321,7.148380864591321,6.122230297007607,6.205532258812314,6.426295575093962,6.972980229775527,6.684182899809737
C4H8N2O3_L-(-)-Asparagine_-0.09,6.972980229775527,6.972980229775527,6.972980229775527,6.972980229775527,6.972980229775527,7.148380864591321,7.055035173345548,6.972980229775527,7.055035173345548,6.9267239155252325,6.972980229775527,6.972980229775527,6.972980229775527,6.972980229775527,6.972980229775527,6.9267239155252325,6.972980229775527,6.972980229775527,6.972980229775527,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.972980229775527,6.853768001866335,6.972980229775527,6.9267239155252325,6.9267239155252325,6.853768001866335,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.972980229775527,6.972980229775527,6.9267239155252325,6.853768001866335,6.972980229775527,6.853768001866335,6.772596014242112,6.9267239155252325,6.853768001866335,6.853768001866335,6.853768001866335,6.772596014242112,6.9267239155252325,7.122606636107877,6.9267239155252325,7.122606636107877
C4H8NOPS_nan_0.94,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.853768001866335,6.9267239155252325,6.972980229775527,6.853768001866335,6.853768001866335,6.9267239155252325,6.9267239155252325,6.9267239155252325,6.684182899809737,6.9267239155252325,6.9267239155252325,6.772596014242112,6.772596014242112,6.772596014242112,6.772596014242112,6.772596014242112,6.853768001866335,6.5842569095918755,6.772596014242112,6.9267239155252325,6.5842569095918755,6.772596014242112,6.684182899809737,6.684182899809737,6.772596014242112,6.853768001866335,6.853768001866335,6.9267239155252325,6.5842569095918755,6.853768001866335,6.972980229775527,6.484884084453946,6.684182899809737,6.539215475290718,6.684182899809737,6.772596014242112,6.772596014242112,6.684182899809737,6.9267239155252325,6.853768001866335,7.055035173345548,6.772596014242112,7.055035173345548
C12H16N4OS_Thiamine_-0.17,6.772596014242112,6.772596014242112,6.772596014242112,6.853768001866335,6.772596014242112,6.684182899809737,6.684182899809737,6.9267239155252325,6.772596014242112,6.772596014242112,6.9267239155252325,6.772596014242112,6.772596014242112,6.772596014242112,6.772596014242112,6.300314797412803,6.772596014242112,6.772596014242112,6.853768001866335,6.853768001866335,6.853768001866335,6.853768001866335,6.853768001866335,6.772596014242112,6.9267239155252325,7.055035173345548,6.772596014242112,6.539215475290718,6.853768001866335,6.772596014242112,6.853768001866335,6.684182899809737,6.772596014242112,6.772596014242112,6.684182899809737,6.684182899809737,6.972980229775527,6.9267239155252325,6.853768001866335,6.972980229775527,7.055035173345548,6.972980229775527,6.9267239155252325,6.972980229775527,6.972980229775527,6.853768001866335,7.055035173345548,6.5842569095918755,7.055035173345548,6.772596014242112
C4H9NO3_Homoserine_-1.31,6.853768001866335,6.853768001866335,6.853768001866335,6.772596014242112,6.853768001866335,6.772596014242112,6.853768001866335,6.772596014242112,6.853768001866335,6.853768001866335,6.772596014242112,6.684182899809737,6.684182899809737,6.684182899809737,6.684182899809737,7.41949461603712,6.684182899809737,6.684182899809737,6.684182899809737,6.5842569095918755,6.5842569095918755,6.5842569095918755,6.684182899809737,6.5842569095918755,6.539215475290718,6.684182899809737,6.853768001866335,6.484884084453946,6.484884084453946,6.539215475290718,6.539215475290718,6.5842569095918755,6.484884084453946,6.484884084453946,6.539215475290718,6.426295575093962,6.539215475290718,6.772596014242112,6.426295575093962,6.426295575093962,6.426295575093962,6.484884084453946,6.484884084453946,6.426295575093962,6.484884084453946,6.426295575093962,6.772596014242112,6.853768001866335,6.539215475290718,6.853768001866335
C6H15N4O5P_Phosphoarginine_0.39,5.676590267538146,5.5061243302004605,5.676590267538146,5.856852141026423,5.676590267538146,5.791452482908527,5.601842432522331,5.601842432522331,5.676590267538146,5.5589613985469795,6.01521605146658,6.539215475290718,6.484884084453946,6.484884084453946,6.539215475290718,6.539215475290718,6.426295575093962,6.484884084453946,6.5842569095918755,6.684182899809737,6.684182899809737,6.684182899809737,6.5842569095918755,6.684182899809737,6.684182899809737,6.426295575093962,5.919661656074299,6.772596014242112,6.5842569095918755,6.972980229775527,6.5842569095918755,6.972980229775527,6.539215475290718,6.539215475290718,6.853768001866335,6.9267239155252325,6.684182899809737,6.272237092747912,6.9267239155252325,6.772596014242112,6.9267239155252325,6.772596014242112,7.055035173345548,6.684182899809737,6.5842569095918755,6.972980229775527,6.355081173902272,5.856852141026423,6.5842569095918755,5.856852141026423
C17H27N3O17P2_UDP-GlcNAc_2.29,6.272237092747912,6.165860413826668,6.272237092747912,6.272237092747912,6.300314797412803,6.426295575093962,6.426295575093962,6.165860413826668,6.205532258812314,6.272237092747912,6.122230297007607,6.5842569095918755,6.5842569095918755,6.5842569095918755,6.5842569095918755,5.5061243302004605,6.5842569095918755,6.5842569095918755,6.484884084453946,6.484884084453946,6.484884084453946,6.484884084453946,6.484884084453946,6.484884084453946,6.772596014242112,6.539215475290718,6.272237092747912,6.853768001866335,6.684182899809737,6.9267239155252325,6.772596014242112,6.853768001866335,6.684182899809737,6.684182899809737,6.772596014242112,6.772596014242112,6.426295575093962,6.073757731664767,6.5842569095918755,6.539215475290718,6.684182899809737,6.539215475290718,6.684182899809737,6.5842569095918755,6.539215475290718,6.684182899809737,6.484884084453946,6.165860413826668,6.426295575093962,6.300314797412803
C7H12N3O7PS_nan_-1.68,6.684182899809737,6.684182899809737,6.684182899809737,6.684182899809737,6.539215475290718,6.484884084453946,6.484884084453946,6.5842569095918755,6.484884084453946,6.684182899809737,6.539215475290718,6.484884084453946,6.539215475290718,6.539215475290718,6.484884084453946,6.01521605146658,6.539215475290718,6.539215475290718,6.426295575093962,6.355081173902272,6.355081173902272,6.426295575093962,6.426295575093962,6.355081173902272,6.205532258812314,6.355081173902272,6.684182899809737,6.355081173902272,6.355081173902272,6.5842569095918755,6.355081173902272,6.484884084453946,6.355081173902272,6.355081173902272,6.484884084453946,6.300314797412803,6.484884084453946,6.684182899809737,6.272237092747912,6.355081173902272,6.355081173902272,6.355081173902272,6.539215475290718,6.355081173902272,6.355081173902272,6.539215475290718,6.5842569095918755,6.772596014242112,6.355081173902272,6.539215475290718
C4H7NO4_Aspartate_-0.06,5.791452482908527,5.791452482908527,5.731104332301989,6.01521605146658,5.856852141026423,6.165860413826668,5.965376179707063,5.965376179707063,5.965376179707063,6.122230297007607,6.165860413826668,6.355081173902272,6.355081173902272,6.272237092747912,6.355081173902272,7.292248247854949,6.484884084453946,6.272237092747912,6.355081173902272,6.426295575093962,6.426295575093962,6.355081173902272,6.355081173902272,6.426295575093962,6.426295575093962,6.484884084453946,5.791452482908527,6.684182899809737,6.539215475290718,6.426295575093962,6.426295575093962,6.539215475290718,6.5842569095918755,6.5842569095918755,6.5842569095918755,6.539215475290718,6.355081173902272,6.165860413826668,6.539215475290718,6.484884084453946,6.484884084453946,6.426295575093962,6.426295575093962,6.484884084453946,6.426295575093962,6.484884084453946,6.426295575093962,6.684182899809737,6.484884084453946,6.5842569095918755
C9H12N2O2_(4-Ethoxyphenyl)urea_-0.64,6.5842569095918755,6.5842569095918755,6.355081173902272,6.355081173902272,6.5842569095918755,6.5842569095918755,6.5842569095918755,6.684182899809737,6.5842569095918755,6.426295575093962,6.684182899809737,6.426295575093962,6.426295575093962,6.426295575093962,6.426295575093962,7.122606636107877,6.355081173902272,6.426295575093962,6.539215475290718,6.539215475290718,6.539215475290718,6.539215475290718,6.539215475290718,6.539215475290718,6.484884084453946,6.5842569095918755,6.484884084453946,6.426295575093962,6.426295575093962,6.355081173902272,6.484884084453946,6.300314797412803,6.426295575093962,6.426295575093962,6.426295575093962,6.484884084453946,6.5842569095918755,6.5842569095918755,6.684182899809737,6.5842569095918755,6.5842569095918755,6.5842569095918755,6.5842569095918755,6.539215475290718,6.772596014242112,6.5842569095918755,6.539215475290718,6.300314797412803,6.684182899809737,6.484884084453946
C14H27NO4_nan_0.69,6.205532258812314,6.426295575093962,6.5842569095918755,6.122230297007607,6.165860413826668,6.272237092747912,6.355081173902272,6.122230297007607,6.272237092747912,6.01521605146658,5.965376179707063,5.791452482908527,5.791452482908527,5.791452482908527,5.731104332301989,6.972980229775527,5.731104332301989,5.791452482908527,5.791452482908527,5.676590267538146,5.791452482908527,5.791452482908527,5.791452482908527,5.791452482908527,5.025991629557692,5.025991629557692,5.965376179707063,5.353601683564514,4.816721801603626,4.924679002000464,5.025991629557692,5.140762289033081,4.6736942045983785,4.6736942045983785,4.924679002000464,5.025991629557692,5.140762289033081,5.856852141026423,6.300314797412803,5.140762289033081,5.5061243302004605,5.353601683564514,5.353601683564514,5.140762289033081,5.296103222406486,5.140762289033081,5.353601683564514,4.816721801603626,5.5589613985469795,5.232024647493585
C5H7N8OPS_nan_1.27,6.390688374498117,6.512049779872332,6.512049779872332,6.5617361924412965,6.390688374498117,6.300314797412803,6.286275945080357,6.390688374498117,6.426295575093962,6.512049779872332,6.390688374498117,6.286275945080357,6.286275945080357,6.3276979856575375,6.286275945080357,6.205532258812314,6.286275945080357,6.3276979856575375,6.300314797412803,6.286275945080357,6.286275945080357,6.286275945080357,6.286275945080357,6.286275945080357,6.272237092747912,6.286275945080357,6.5617361924412965,6.272237092747912,6.286275945080357,6.286275945080357,6.286275945080357,6.390688374498117,6.286275945080357,6.286275945080357,6.3276979856575375,6.238884675780113,6.272237092747912,6.455589829773954,6.122230297007607,6.286275945080357,6.238884675780113,6.238884675780113,6.3276979856575375,6.286275945080357,6.286275945080357,6.300314797412803,6.286275945080357,6.512049779872332,6.300314797412803,6.390688374498117
C13H9ClN2O3_2-Chloro-5-nitrobenzanilide_2.9,6.390688374498117,6.512049779872332,6.512049779872332,6.5617361924412965,6.390688374498117,6.355081173902272,6.286275945080357,6.390688374498117,6.355081173902272,6.512049779872332,6.390688374498117,6.286275945080357,6.286275945080357,6.3276979856575375,6.286275945080357,6.165860413826668,6.286275945080357,6.3276979856575375,6.272237092747912,6.286275945080357,6.286275945080357,6.286275945080357,6.286275945080357,6.286275945080357,6.165860413826668,6.286275945080357,6.5617361924412965,6.300314797412803,6.286275945080357,6.286275945080357,6.286275945080357,6.390688374498117,6.286275945080357,6.286275945080357,6.3276979856575375,6.238884675780113,6.300314797412803,6.455589829773954,6.073757731664767,6.286275945080357,6.238884675780113,6.238884675780113,6.3276979856575375,6.286275945080357,6.286275945080357,6.355081173902272,6.286275945080357,6.512049779872332,6.272237092747912,6.390688374498117
