Name,Formula,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Sample_2.raw (F4),Sample_6.raw (F8),Sample_7.raw (F9),Sample_12.raw (F15),Sample_15.raw (F18),Sample_17.raw (F21),Sample_2a.raw (F33),Sample_6a.raw (F37),Sample_7a.raw (F38),Sample_12a.raw (F44),Sample_15a.raw (F47),Sample_17a.raw (F50),QC9.raw (F1),QC10.raw (F2),QC11.raw (F11),QC12.raw (F20),Solvent_Blank.raw (F27),QC13.raw (F28),QC14.raw (F29),QCB4.raw (F30),QCB5.raw (F31),QCB6.raw (F40),QCB7.raw (F49),QCB8.raw (F56),QCB9.raw (F57),Sample_1.raw (F3),Sample_3.raw (F5),Sample_4.raw (F6),Sample_5.raw (F7),Sample_10.raw (F13),Sample_11.raw (F14),Sample_14.raw (F17),Sample_16.raw (F19),Sample_18.raw (F22),Sample_19.raw (F23),Sample_20.raw (F24),Sample_1a.raw (F32),Sample_3a.raw (F34),Sample_4a.raw (F35),Sample_5a.raw (F36),Sample_10a.raw (F42),Sample_11a.raw (F43),Sample_14a.raw (F46),Sample_16a.raw (F48),Sample_18a.raw (F51),Sample_19a.raw (F52),Sample_20a.raw (F53),Sample_8.raw (F10),Sample_13.raw (F16),Sample_8a.raw (F39),Sample_13a.raw (F45)
,C14 H27 N O4,0.69,273.1942,274.20147,3.106,2834643.971,3192854.697,4841138.91,5978793.707,2794812.992,2851627.607,832044.0912,994032.9889,1311767.756,1318731.671,1028239.801,829567.1729,1301426.919,1210500,1173683.147,1161042.497,94035.97748,1189884.827,1198382.042,428280.3725,363773.7423,413677.1632,418325.8843,440793.8784,417647.6901,89142.25986,115114.3976,2259332.517,350018.741,69769.71479,47701.40944,100584.7658,166902.8055,41399.08036,75074.72667,106671.5298,48903.23196,66374.18886,796673.2558,838255.5773,194830.7606,189126.7841,99474.11247,89994.05067,54314.41505,161508.0089,85432.67254,112431.432,98076.31447,129487.2725,145190.7831
,C5 H7 N8 O P S,1.27,258.02044,259.02771,5.744,4590876.624,4759829.591,5232286.463,5953511.567,4748046.777,3565677.781,899960.0004,959208.2178,2116400.947,1505272.818,2928080.84,2698707.518,3582753.003,3572737.543,3914511.842,3877094.182,26909.85635,4365498.186,4261454.737,1561837.66,1512451.366,1582243.6,1710947.849,1732696.98,1700135.666,1216152.499,3184368.79,5875273.063,1970255.033,2795192.866,3396635.872,2889099.648,3145848.391,2294682.705,2603974.043,3970464.67,869242.1823,1062763.988,3573492.912,648182.9997,1713818.028,1075665.095,1008284.372,1526057.278,1261403.597,1475157.27,1946523.525,2120475.549,5594839.843,1053910.786,2443576.015
2-Chloro-5-nitrobenzanilide,C13 H9 Cl N2 O3,2.9,276.03097,259.02766,5.742,4590876.624,4759829.591,5232286.463,5953511.567,4748046.777,3565677.781,916497.8501,959208.2178,2116400.947,1497288.013,2928080.84,2698707.518,3582753.003,3572737.543,3914511.842,3877094.182,26889.2878,4365498.186,4261454.737,1536817.291,1512451.366,1582243.6,1710947.849,1732696.98,1700135.666,1203729.351,3184368.79,5875273.063,1985090.387,2795192.866,3396635.872,2889099.648,3145848.391,2294682.705,2603974.043,3970464.67,869242.1823,1101783.805,3573492.912,634776.9096,1713818.028,1075665.095,1008284.372,1526057.278,1261403.597,1475157.27,1950738.847,2120475.549,5594839.843,1034495.568,2443576.015
,C5 H7 O2 P S,0.4,161.9905,162.99783,5.763,4799179.526,4915742.107,4526463.111,5639579.781,4724110.159,3699716.303,1527314.582,1790991.016,2764062.265,2744916.875,3702138.187,2835875.545,1791305.813,1600991.737,1989936.048,1750852.115,12515.25632,1792893.859,1751737.641,844515.6323,893638.8854,1079468.438,1063412.895,1087788.736,1111898.727,864598.5381,1532189.187,4396030.958,779452.7973,1316838.949,4221730.042,690875.0723,1666188.215,1452137.906,651962.8647,2592706.066,788417.8344,673593.5022,3774093.588,705989.6621,1299948.741,1388421.485,1225639.95,1315991.898,825388.4173,978341.0823,472183.6732,2958898.042,2650580.791,925393.4289,1020411.332
Ethyl mercury ion,C2 H5 Hg,-1.41,231.00943,232.0167,5.763,3656777.402,3832744.164,4271276.998,4875797.572,4087880.425,2956313.419,797668.0919,915786.2489,1722602.944,1436392.445,2474838.641,2255263.2,2673737.372,2739511.388,3244579.551,3092204.673,24186.01286,3041626.353,3199423.67,1246574.046,1232794.33,1330474.401,1363373.411,1476172.982,1321143.212,852331.5751,2121591.197,4640870.356,1298518.198,1872264.664,2149352.072,1895581.71,2109726.555,1599286.955,1977815.812,2945115.748,597230.5431,742048.5462,3044327.124,428651.6492,1277089.138,863447.77,755885.0768,1173344.574,997356.3509,1020907.942,1381905.681,1521151.559,4053620.192,776917.2633,1898289.771
,C10 H11 Cl N O13 P,2.74,418.9668,419.97408,5.288,2938867.39,2027499.037,2560997.76,2504425.87,1909903.27,2193383.699,231274.9765,261461.6525,628038.9071,486524.9133,913506.6671,555173.4002,1421274.189,1477455.956,1350856.399,1300638.932,13039.17608,2148167.912,1599774.3,331587.8589,365626.1765,360905.2324,246093.5573,359748.2488,324790.0956,320194.7843,923708.8894,2619850.353,415347.0968,1189250.908,418394.9979,674789.4835,513551.6219,875399.6775,804106.2147,1172439.464,147353.3335,113043.5582,799404.3461,47956.26584,426562.024,43188.80225,56888.14225,31130.53776,146891.4625,133444.7741,179419.3461,535986.88,4556797.139,182605.9572,1230245.632
,C6 H16 N5 O9 P3,-1.03,395.01568,396.02296,5.761,2753431.918,3118242.497,3411070.668,3977546.005,3619271.724,2099996.517,660508.2931,612525.5506,1462855.025,1108524.384,2351554.537,1724119.785,2267271.649,2493968.312,2540250.891,2838215.679,23990.33742,2828765.364,2891778.592,1030691.053,1129776.536,1198137.456,1041260.616,1224975.72,1258208.897,521546.1116,1790325.183,4276239.598,1099535.453,1723192.431,2182594.62,1685204.481,2120451.372,1516991.975,1753474.591,2548426.247,372496.8733,739658.4792,3248267.025,329341.1848,1147129.223,570545.8235,545639.9109,1097531.863,839817.3772,882918.8999,1333503.308,1389472.181,3639044.96,573282.0501,1609382.174
gamma-Glutamylalanine,C8 H14 N2 O5,-0.51,218.09016,219.09742,6.31,3418643.483,3009531.787,3596710.869,3526553.615,2911837.182,2897900.71,433789.9062,438448.5187,694513.7198,565914.0815,859687.9005,765602.7013,2327744.873,2272921.128,2206263.111,2118977.403,23226.95346,2261980.135,2295666.651,585757.7109,596796.4423,587785.8258,600331.7232,555462.5353,613409.2541,953865.3831,2244653.16,3761123.716,1195225.979,2476097.918,711740.0448,1208081.577,1109603.631,1708970.674,1485738.001,2053082.366,455603.4277,476632.4832,889395.9197,290896.2439,1030199.487,152421.0013,289873.414,230104.6956,563115.2149,547678.0604,623926.1374,949299.3265,4053566.589,293783.437,956687.4633
Adenosine monophosphate,C10 H14 N5 O7 P,0.43,347.06323,348.07052,5.949,1928831.029,1816139.303,2237579.33,1861641.525,944267.4825,1146989.53,693078.0049,841993.6424,972638.0842,1032406.671,1383561.389,612196.8914,1499733.909,1471166.555,1429163.606,1584670.101,25147.95649,1444244.248,1530144.23,731807.2179,670336.3077,718579.0215,719369.7976,730670.2555,731287.7421,796612.9351,1301532.673,1146843.769,1214466.587,1177180.882,858625.2308,1182512.132,867223.1466,1445662.717,1256953.651,1556342.901,513603.4213,382404.6835,447812.2531,422536.106,1135263.351,732534.5669,348745.4605,304203.5528,469466.9577,545174.7358,417844.0315,465588.1501,3206770.902,331423.1901,1698252.557
,C6 H2 N2 O12,1.07,293.96109,294.96836,5.285,1885417.527,1382036.344,1785843.242,1771813.771,1313162.288,1458739.6,202766.6693,299018.6549,529715.7787,456744.6674,802903.5788,522538.1628,1113505.572,1082518.772,979684.2671,1172158.058,15375.28621,1498635.651,1171274.966,321395.629,336754.3511,336714.5283,299547.7304,337650.0471,325389.58,348219.7911,720668.8708,1871897.446,433791.2974,968557.3495,431059.0399,667247.8864,514261.0165,755780.9106,756896.938,920751.624,194605.4315,113886.241,669946.4485,67512.25834,383326.5604,80538.65566,81245.59276,70973.26628,205665.7921,210692.6654,260085.9379,463654.8713,3050503.784,230068.9336,1012767.811
